Frame,RMSD,RoG,SaSa,RMSF
1,0,4.76036500533041,862.79047,4.2911158
2,4.2384615,4.76337328645954,859.0956,4.2899
3,4.776003,4.7578393749429,866.463,4.2898197
4,5.0814624,4.76075213688162,875.01855,4.2905498
5,5.3018074,4.76022589784948,894.3015,4.2900505
6,5.480658,4.76158791766551,872.6724,4.2881293
7,5.564747,4.76276038504795,896.65674,4.288261
8,5.672882,4.75768826087315,870.60345,4.290218
9,5.701876,4.76345239767846,881.025,4.289211
10,5.766755,4.76301046333564,885.57025,4.2896986
11,5.8242598,4.75946763204455,875.78754,4.288514
12,5.843797,4.75797294984744,887.0478,4.2884216
13,5.862646,4.76197505461932,883.51416,4.2903733
14,5.912229,4.76464585420308,883.5084,4.288761
15,5.9282837,4.7608051351459,877.523,4.290379
16,5.9535794,4.76463365437687,878.3357,4.287302
17,5.9749317,4.76480627390753,884.02454,4.2887583
18,5.9986973,4.76230822543035,889.0832,4.287306
19,6.006794,4.76272291629809,894.3748,4.289413
20,5.991967,4.76374723455302,879.6311,4.2881427
21,6.0048428,4.763608589727,886.0293,4.28786
22,5.9996114,4.76631041702346,888.7758,4.287335
23,5.9488955,4.75898771361636,880.5186,4.288521
24,5.979156,4.7660499242091,886.74335,4.289158
25,5.974724,4.76096018717906,865.8278,4.287927
26,6.057564,4.76331531891074,888.37787,4.289581
27,6.044263,4.76060352068453,888.19934,4.2901187
28,6.0607486,4.75956283712679,875.9454,4.2879105
29,6.008572,4.76040523193731,888.9834,4.2900844
30,6.0093145,4.75753975589456,875.98926,4.2886815
31,6.018462,4.76319252908165,868.06696,4.288525
32,6.0717607,4.75786614345238,872.30963,4.2891183
33,6.03561,4.76009172740503,869.1325,4.290208
34,6.064872,4.76345266565099,884.4236,4.289621
35,6.0701036,4.75835005057145,885.30176,4.295243
36,6.042889,4.76139509980411,884.6091,4.2977023
37,6.050737,4.76224238472939,889.0161,4.2998605
38,6.048899,4.76190037658139,892.9494,4.301271
39,6.044872,4.76438781158454,891.8724,4.300033
40,6.039095,4.76398809663945,897.03766,4.2970686
41,6.0635858,4.76405344734348,898.9451,4.2949543
42,6.0735755,4.76137223170937,905.31604,4.290498
43,6.1004105,4.76530002348473,886.0168,4.2966623
44,6.106056,4.76485082905035,892.8365,4.293747
45,6.054889,4.76071158403706,874.9149,4.2917666
46,6.102654,4.76060098501607,879.5504,4.293307
47,6.076566,4.75916680418772,878.70624,4.290871
48,6.1267605,4.7617225473795,893.5109,4.2931128
49,6.065699,4.76587002340322,907.9078,4.292863
50,6.0663443,4.76189380452676,888.7264,4.291382
51,6.096289,4.76441497332085,908.2204,4.2937584
52,6.100589,4.76274300079498,900.6731,4.2903824
53,6.1159887,4.76556024643835,908.2203,4.290859
54,6.0776553,4.7672279043299,905.1362,4.2930775
55,6.085402,4.75543279151693,906.94244,4.2947707
56,6.1068106,4.76368075012919,904.52374,4.2968545
57,6.1268744,4.76246688519745,887.1367,4.2930098
58,6.104809,4.75715152523943,892.0089,4.2951374
59,6.147094,4.76016681190381,897.75464,4.293311
60,6.154649,4.76105317237749,879.10596,4.2947617
61,6.142272,4.75668903343345,875.9022,4.2947497
62,6.1069627,4.76084128908706,885.29224,4.292367
63,6.1258836,4.75967166985053,884.28156,4.293306
64,6.127951,4.75850052516547,865.4597,4.289114
65,6.0997486,4.75849523865528,867.87646,4.2894707
66,6.1027327,4.76283967421414,888.25977,4.2912154
67,6.0698934,4.75643820468333,860.26715,4.294627
68,6.0732675,4.76385815135842,867.61615,4.2917166
69,6.101514,4.75947108305017,877.4002,4.2990613
70,6.1071806,4.76128466934144,868.13336,4.2955403
71,6.121073,4.76137132236399,865.7847,4.294268
72,6.1225004,4.76257326192023,868.16815,4.295916
73,6.12406,4.76053622088957,867.5686,4.2957535
74,6.1443987,4.75857202225808,895.5353,4.292614
75,6.10004,4.75925035840571,872.58655,4.290998
76,6.1066437,4.75962106432133,864.79095,4.2903337
77,6.090833,4.75786122971131,865.11115,4.290826
78,6.128722,4.76059702937425,871.53766,4.293427
79,6.0839405,4.75987370407051,876.6249,4.2916384
80,6.0990767,4.76141273845508,876.94507,4.289777
81,6.076344,4.76220965893665,873.7345,4.2898345
82,6.0889063,4.76276488104809,869.44354,4.2907424
83,6.1208224,4.76051318090297,874.10333,4.290388
84,6.0914445,4.7613293405114,869.0838,4.292
85,6.1475673,4.75989719583274,857.17017,4.2900968
86,6.124606,4.76373256548738,853.48474,4.2927246
87,6.1120863,4.75528963609646,865.1658,4.2897444
88,6.114263,4.76103500880854,871.3649,4.2924285
89,6.12912,4.76436517659713,862.21674,4.2930455
90,6.1401815,4.76000530889273,860.8944,4.290935
91,6.1366086,4.7587142100234,868.2245,4.295028
92,6.13596,4.7614671241576,866.42126,4.2940955
93,6.087606,4.76603352744138,865.65674,4.2934313
94,6.1090217,4.76020701477908,862.9528,4.2956114
95,6.1152387,4.76134877708605,868.4603,4.2919536
96,6.116058,4.76164124668721,873.97894,4.291128
97,6.1132283,4.76374037327156,869.0764,4.2919073
98,6.140342,4.76410268581223,876.65027,4.292215
99,6.1570916,4.76030804322869,870.77686,4.291626
100,6.133474,4.76310412926659,888.83704,4.290605
